"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/22/2020","AQS","390130006","1","11","ppb","10","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"04/23/2020","AQS","390130006","1","20","ppb","19","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"04/24/2020","AQS","390130006","1","10","ppb","9","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"04/25/2020","AQS","390130006","1","14","ppb","13","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"04/26/2020","AQS","390130006","1","9","ppb","8","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"04/27/2020","AQS","390130006","1","6","ppb","6","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"04/28/2020","AQS","390130006","1","16","ppb","15","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"04/29/2020","AQS","390130006","1","14","ppb","13","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"04/30/2020","AQS","390130006","1","6","ppb","6","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/01/2020","AQS","390350060","1","10","ppb","9","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
